ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
0.25999999,46452,0.49000001,0.53899997,1,0.72000003,0.76999998
0.23,49105,0.47,0.68900001,1,0.86000001,0.56099999
0.15000001,52109,0.41999999,0.71700001,1,0.83999997,0.80299997
0.19,47986,0.47999999,0.64700001,1,0.77999997,0.71700001
0.23,48265,0.47,0.66900003,1,0.81999999,0.66900003
0.31999999,36759,0.87,0,0,0.18000001,-0.42899999
0.23,41274,0.50999999,0.68900001,1,0.30000001,0.486
0.15000001,49948,0.64999998,0.373,0,0.77999997,-0.405
0.11,57639,0.63,0.38800001,0,0.67000002,-0.38800001
0.16,48642,0.49000001,1,1,0.20999999,0.36199999
0.17,62338,0.51999998,0.54400003,1,0.81999999,0.67500001
0.34999999,37563,0.82999998,0.20900001000000001,0,0.28999999,-0.495
0.12,53631,0.49000001,0.597,1,0.80000001,0.778
0.2,54968,0.49000001,0.55000001,1,0.23999999,0.36700001
0.25999999,42806,0.36000001,0.71600002,1,0.69,0.73699999
0.36000001,34056,0.54000002,0.486,0,0.47999999,-0.211
0.15000001,55694,0.34999999,0.69499999,1,0.75999999,0.787
0.28,48327,0.79000002,0.25299999,0,0.30000001,-0.433
0.31,48106,0.79000002,0.26300001,0,0.34,-0.58200002
0.090000004,79575,0.37,1,1,0.81,0.81599998
0.16,64882,0.38999999,0.671,1,0.75999999,0.95599997
0.25,42143,0.43000001,0.52700001,1,0.63,0.78899997
0.23999999,47829,0.23999999,1,1,0.86000001,0.98100001
0.23999999,42440,0.38,0.67400002,1,0.74000001,0.97000003
0.15000001,51406,0.33000001,1,1,0.80000001,0.76200002
0.28,35454,0.54000002,0.43399999,0,0.50999999,-0.086000003
0.23999999,50008,0.70999998,0.30599999,0,0.47,-0.34599999
0.11,62298,0.69999999,0.46799999,0,0.18000001,-0.34099999
0.16,65482,0.73000002,0.259,0,0.28,-0.49200001
0.2,47595,0.36000001,0.55299997,1,0.88999999,0.98400003
0.16,45048,0.36000001,0.73799998,1,0.87,0.43200001
0.36000001,41145,0.87,0.16500001,0,0.27000001,-0.40599999
0.31,43380,0.89999998,0.146,0,0.25999999,-0.52499998
0.15000001,55266,0.63999999,0.259,0,0.68000001,-0.25799999
0.28999999,40921,0.85000002,0.156,0,0.19,-0.50099999
0.19,57318,0.73000002,0.26499999,0,0.66000003,-0.32300001
0.090000004,67946,0.56,0.63599998,1,0.75,0.66500002
0.36000001,50184,0.88,0.16500001,0,0.27000001,-0.479
0.1,71382,0.56,0.50099999,1,0.79000002,0.995
0.15000001,55673,0.72000003,0.31900001,0,0.62,-0.59299999
0.090000004,82069,0.61000001,0.51099998,1,0.75,0.52899998
0.16,55760,0.52999997,0.57300001,1,0.83999997,0.44800001
0.27000001,41436,0.54000002,0.37900001,0,0.80000001,-0.40400001
0.07,80786,0.54000002,0.63800001,1,0.81999999,0.64600003
0.13,66013,0.55000001,0.53299999,1,0.74000001,0.73299998
0.22,44352,0.47999999,0.64300001,1,0.88999999,0.96799999
0.2,55382,0.52999997,0.67699999,1,0.86000001,0.72500002
0.23,40033,0.56,0.55000001,1,0.87,0.64600003
0.19,49233,0.47999999,0.72799999,1,0.89999998,0.52499998
0.17,48684,0.44,0.71200001,1,0.94,0.61500001
0.2,50366,0.62,0.39700001,0,0.69999999,-0.43700001
0.23999999,43453,0.54000002,0.493,0,0.83999997,-0.108
0.18000001,49651,0.43000001,0.65499997,1,0.88,0.95099998
0.14,53369,0.43000001,0.72299999,1,0.93000001,0.838
0.13,60492,0.40000001,0.70999998,1,0.93000001,0.76599997
0.20999999,43233,0.46000001,0.69,1,0.93000001,0.84500003
0.34999999,40443,0.70999998,0.391,0,0.63,-0.39500001
0.2,43252,0.47,0.60600001,1,0.94,0.55199999
0.17,44325,0.49000001,0.55299997,1,0.94,0.727
0.16,44106,0.57999998,0.48899999,0,0.92000002,-0.35299999
0.17,47154,0.60000002,0.47400001,0,0.92000002,-0.308
0.16,52239,0.54000002,0.47799999,0,0.89999998,-0.266
0.11,47465,0.52999997,0.67199999,1,0.94999999,0.47499999
0.18000001,44574,0.44,0.67000002,1,0.94,0.72000003
0.17,41917,0.30000001,0.764,1,0.85000002,0.96600002
0.19,44361,0.43000001,0.66100001,1,0.87,0.75099999
0.16,60713,0.50999999,0.602,1,0.80000001,0.78100002
0.18000001,45731,0.40000001,0.61699998,1,0.81,0.82200003
0.25,36655,0.37,0.71200001,1,0.89999998,0.509
0.23,42952,0.38,0.67900002,1,0.91000003,0.52899998
0.22,43181,0.56,0.44600001,0,0.75999999,-0.36700001
0.20999999,48223,0.38,0.69499999,1,0.94999999,0.53899997
NA,NA,NA,NA,NA,NA,0.98000002
0.38999999,26824,0.31,0.77399999,1,0.97000003,0.53100002
0.25,43961,0.43000001,0.498,0,0.87,-0.18000001
0.18000001,49935,0.25999999,0.80299997,1,0.80000001,0.74299997
0.33000001,38637,0.74000001,0.34099999,0,0.28,-0.43900001
0.20999999,42779,0.37,0.63800001,1,0.69999999,0.85799998
0.25,37544,0.40000001,0.65799999,1,0.62,0.73900002
0.30000001,34384,0.37,1,1,0.63,0.5
0.2,44689,0.41,0.65600002,1,0.63,0.71399999
0.25,38599,0.34999999,1,1,0.72000003,0.57700002
0.12,52004,0.61000001,0.43200001,0,0.95999998,-0.48300001
0.23,40096,0.55000001,0.44800001,0,0.97000003,-0.278
0.1,66802,0.40000001,0.56300002,1,0.85000002,0.89999998
0.15000001,55534,0.60000002,0.34200001,0,0.66000003,-0.26699999
0.14,69028,0.58999997,0.37099999,0,0.75999999,-0.41299999
0.090000004,71886,0.85000002,0.164,0,0.28,-0.551
0.059999999,81179,0.64999998,0.34999999,0,0.61000001,-0.32100001
0.11,67041,0.40000001,0.64899999,1,0.92000002,0.74299997
0.2,51367,0.79000002,0.233,0,0.34,-0.421
0.1,86971,0.74000001,0.25400001,0,0.56,-0.333
0.17,51853,0.63999999,0.368,0,0.88999999,-0.63700002
0.19,55829,0.58999997,0.426,0,0.81999999,-0.46799999
0.12,62659,0.58999997,0.40900001,0,0.86000001,-0.56400001
0.11,68236,0.63999999,0.44600001,0,0.88,-0.56300002
0.13,70430,0.58999997,0.435,0,0.80000001,-0.398
0.079999998,68759,0.57999998,0.43000001,0,0.89999998,-0.50300002
0.090000004,68385,0.64999998,0.33500001,0,0.82999998,-0.565
0.25,48636,0.86000001,0,0,0.49000001,-0.56300002
0.1,69579,0.60000002,0.27700001,0,0.80000001,-0.37599999
0.07,66969,0.55000001,0.47499999,0,0.92000002,-0.40599999
0.2,39484,0.5,0.55900002,1,0.94,0.89700001
0.2,44749,0.47999999,0.67400002,1,0.87,0.88999999
0.20999999,50063,0.49000001,0.61400002,1,0.81999999,0.99699998
0.23,41836,0.5,0.685,1,0.93000001,0.64600003
0.31,41535,0.63999999,0.45500001,0,0.75,-0.366
0.22,43475,0.54000002,0.64899999,1,0.83999997,0.65200001
0.20999999,47355,0.51999998,0.52499998,1,0.88,0.68000001
0.14,57415,0.52999997,0.65100002,1,0.88,0.62900001
0.14,70078,0.56,0.48699999,0,0.81,-0.27200001
0.15000001,57242,0.47999999,0.74199998,1,0.94,0.62599999
0.090000004,65449,0.54000002,0.60600001,1,0.89999998,0.60100001
NA,NA,NA,NA,NA,NA,-0.398
0.19,48417,0.64999998,0.36399999,0,0.81999999,-0.33700001
0.44,30842,0.85000002,0.189,0,0.28999999,-0.491
0.44999999,35228,0.86000001,0.206,0,0.31999999,-0.61000001
0.18000001,52763,0.66000003,0.414,0,0.79000002,-0.412
0.12,49274,0.50999999,0.472,0,0.93000001,-0.28099999
0.090000004,72416,0.47999999,0.634,1,0.92000002,0.759
0.090000004,73229,0.51999998,0.616,1,0.88999999,0.69400001
0.23999999,53688,0.63999999,0.36899999,0,0.77999997,-0.414
0.25,48287,0.73400003,0.26300001,0,0.70999998,-0.56300002
0.079999998,67832,0.44999999,0.56900001,1,0.94999999,0.759
0.15000001,44311,0.47,0.405,0,0.93000001,-0.175
0.17,45108,0.52999997,0.50800002,1,0.94999999,0.56199998
0.28,38015,0.38,0.57499999,1,0.70999998,0.588
0.41,30040,0.66000003,0.37900001,0,0.34999999,-0.447
0.28999999,37503,0.38,0.685,1,0.63999999,0.53500003
0.25999999,38800,0.31999999,0.52600002,1,0.73000002,0.52200001
0.31,40363,0.80000001,0.243,0,0.46000001,-0.53100002
0.059999999,70912,0.44,0.699,1,0.93000001,0.74599999
0.18000001,50082,0.60000002,0.48800001,0,0.86000001,-0.31900001
0.20999999,41668,0.38,0.528,1,0.92000002,0.64999998
0.23999999,42722,0.63999999,0.45300001,0,0.66000003,-0.43200001
0.14,50330,0.44999999,0.69499999,1,0.92000002,0.62199998
0.25999999,40686,0.34999999,0.676,1,0.93000001,0.74299997
0.30000001,34360,0.36000001,0.69499999,1,0.92000002,0.41
0.19,42675,0.44,1,1,0.93000001,0.63999999
0.20999999,43531,0.47,0.64099997,1,0.89999998,0.51200002
0.14,48397,0.44,0.713,1,0.91000003,0.48899999
0.16,52192,0.5,0.60799998,1,0.80000001,0.67000002
0.16,40942,0.30000001,0.79699999,1,0.92000002,0.67900002
0.22,50035,0.63999999,0.36399999,0,0.50999999,-0.27599999
